-1	-1	-1	-1
-1	-1	-1	-1
1	1	1	-1
-1	-1	1	-1
1	-1	-1	-1
-1	-1	-1	-1
1	1	-1	0
-1	-1	-1	-1
-1	-1	-1	-1
1	-1	-1	-1
-1	-1	-1	-1
-1	-1	-1	-1
1	1	-1	-1
1	-1	-1	-1
-1	-1	-1	-1
1	1	1	1
-1	-1	-1	-1
-1	-1	-1	-1
-1	-1	1	-1
-1	-1	-1	-1
-1	1	-1	-1
1	1	1	-1
1	-1	1	-1
1	-1	-1	1
1	-1	1	-1
-1	-1	-1	-1
1	1	1	1
-1	-1	-1	-1
-1	-1	-1	-1
-1	-1	-1	-1
1	1	-1	-1
-1	-1	-1	-1
-1	-1	-1	-1
1	-1	-1	-1
-1	-1	-1	-1
1	-1	-1	-1
1	1	-1	-1
-1	-1	-1	-1
-1	-1	-1	-1
-1	-1	-1	-1
1	1	-1	-1
-1	-1	-1	-1
-1	-1	-1	-1
-1	-1	-1	-1
1	1	-1	1
-1	-1	-1	-1
-1	-1	-1	-1
-1	-1	-1	-1
-1	-1	-1	-1
-1	-1	-1	-1
-1	-1	-1	-1
1	1	-1	1
-1	-1	-1	-1
-1	-1	-1	-1
-1	-1	-1	-1
1	-1	-1	-1
-1	-1	-1	-1
-1	-1	-1	-1
1	1	1	1
-1	-1	-1	-1
-1	-1	-1	-1
-1	-1	-1	-1
-1	-1	-1	-1
-1	-1	-1	-1
-1	-1	-1	-1
-1	-1	-1	-1
1	-1	-1	-1
1	-1	-1	-1
-1	-1	-1	-1
-1	1	-1	-1
-1	-1	-1	-1
-1	-1	-1	-1
1	1	1	1
-1	-1	-1	-1
-1	-1	-1	-1
1	1	-1	-1
1	1	o	o
-1	-1	-1	-1
-1	-1	-1	-1
1	-1	-1	1
-1	-1	-1	-1
